kernel_name,event_type,event_name,dur(us)
matmul_2x2x2,main,jit_validation_matrix_multiply(17699181076748948927),1.075803
matmul_2x2x2,sub,copy-start,0.008571
matmul_2x2x2,sub,copy-start.1,0.008572
matmul_2x2x2,sub,copy-done,0.424375
matmul_2x2x2,sub,copy-done.1,0.01
matmul_2x2x2,sub,fusion,0.595625
matmul_2x2x8,main,jit_validation_matrix_multiply(15171886116754138821),1.074285
matmul_2x2x8,sub,copy-start,0.008571
matmul_2x2x8,sub,copy-start.1,0.008571
matmul_2x2x8,sub,copy-done,0.422857
matmul_2x2x8,sub,copy-done.1,0.009911
matmul_2x2x8,sub,fusion,0.594375
matmul_2x2x32,main,jit_validation_matrix_multiply(4377902662736929989),1.069911
matmul_2x2x32,sub,copy-start,0.008571
matmul_2x2x32,sub,copy-start.1,0.008572
matmul_2x2x32,sub,copy-done,0.418482
matmul_2x2x32,sub,copy-done.1,0.00866
matmul_2x2x32,sub,fusion,0.595714
matmul_2x2x128,main,jit_validation_matrix_multiply(6649414446094363193),1.082947
matmul_2x2x128,sub,copy-start,0.008572
matmul_2x2x128,sub,copy-start.1,0.008572
matmul_2x2x128,sub,copy-done,0.414375
matmul_2x2x128,sub,copy-done.1,0.01
matmul_2x2x128,sub,fusion,0.612768
matmul_2x2x512,main,jit_validation_matrix_multiply(10809527232250062464),1.485714
matmul_2x2x512,sub,copy-start,0.008571
matmul_2x2x512,sub,copy-done,0.432857
matmul_2x2x512,sub,fusion,1.015714
matmul_2x8x2,main,jit_validation_matrix_multiply(17699181076748948927),1.074375
matmul_2x8x2,sub,copy-start,0.008571
matmul_2x8x2,sub,copy-start.1,0.008571
matmul_2x8x2,sub,copy-done,0.422946
matmul_2x8x2,sub,copy-done.1,0.01
matmul_2x8x2,sub,fusion,0.595625
matmul_2x8x8,main,jit_validation_matrix_multiply(1582330421467372776),1.384286
matmul_2x8x8,sub,copy-start,0.008572
matmul_2x8x8,sub,copy-done,0.434286
matmul_2x8x8,sub,fusion,0.914285
matmul_2x8x32,main,jit_validation_matrix_multiply(231766744976289061),1.39
matmul_2x8x32,sub,copy-start,0.008572
matmul_2x8x32,sub,copy-done,0.441429
matmul_2x8x32,sub,fusion,0.914197
matmul_2x8x128,main,jit_validation_matrix_multiply(7265755829863839928),1.408572
matmul_2x8x128,sub,copy-start,0.008572
matmul_2x8x128,sub,copy-done,0.435804
matmul_2x8x128,sub,fusion,0.935804
matmul_2x8x512,main,jit_validation_matrix_multiply(7307701488628962737),1.468482
matmul_2x8x512,sub,copy-start,0.008571
matmul_2x8x512,sub,copy-done,0.44
matmul_2x8x512,sub,fusion,0.991429
matmul_2x32x2,main,jit_validation_matrix_multiply(17699181076748948927),1.091429
matmul_2x32x2,sub,copy-start,0.008572
matmul_2x32x2,sub,copy-start.1,0.008571
matmul_2x32x2,sub,copy-done,0.424197
matmul_2x32x2,sub,copy-done.1,0.008661
matmul_2x32x2,sub,fusion,0.611429
matmul_2x32x8,main,jit_validation_matrix_multiply(1582330421467372776),1.465714
matmul_2x32x8,sub,copy-start,0.008571
matmul_2x32x8,sub,copy-done,0.501339
matmul_2x32x8,sub,fusion,0.928571
matmul_2x32x32,main,jit_validation_matrix_multiply(2604711717740948037),1.468661
matmul_2x32x32,sub,copy-start,0.008571
matmul_2x32x32,sub,copy-done,0.484286
matmul_2x32x32,sub,fusion,0.949911
matmul_2x32x128,main,jit_validation_matrix_multiply(7873159405440173159),1.482858
matmul_2x32x128,sub,copy-start,0.008572
matmul_2x32x128,sub,copy-done,0.495625
matmul_2x32x128,sub,fusion,0.951429
matmul_2x32x512,main,jit_validation_matrix_multiply(1570237496116495333),1.571518
matmul_2x32x512,sub,copy-start,0.008571
matmul_2x32x512,sub,copy-done,0.475803
matmul_2x32x512,sub,fusion,1.06
