kernel_name,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"sigmoid_(16,16,32)",1.506866,1.437143,1.654375,0.082968,20,8192
"sigmoid_(32,32,8)",1.485411,1.422858,1.644285,0.08186,20,8192
"sigmoid_(16,16,16)",1.468991,1.408661,1.594196,0.070606,20,4096
"sigmoid_(16,24,16)",1.468906,1.414375,1.617143,0.065662,20,6144
"sigmoid_(16,32,16)",1.453946,1.395804,1.698571,0.092357,20,8192
"sigmoid_(8,32,32)",1.450263,1.404196,1.724286,0.086565,20,8192
"sigmoid_(32,16,16)",1.437933,1.402768,1.650089,0.068118,20,8192
"sigmoid_(32,8,32)",1.437071,1.408661,1.682857,0.065916,20,8192
"sigmoid_(24,16,16)",1.426513,1.407143,1.588571,0.040687,20,6144
"sigmoid_(16,16,24)",1.409496,1.397143,1.484196,0.023117,20,6144
"elu_(16,16,16)",1.38062,1.324286,1.568571,0.082959,20,4096
"selu_(16,16,32)",1.377915,1.334286,1.544196,0.075336,20,8192
"elu_(24,16,16)",1.36908,1.294197,1.507143,0.087975,20,6144
"leaky_relu_(16,24,16)",1.367286,1.292946,1.549911,0.095865,20,6144
"selu_(16,24,16)",1.360866,1.321428,1.625625,0.079316,20,6144
"selu_(16,32,16)",1.357987,1.305715,1.551429,0.085606,20,8192
"selu_(24,16,16)",1.351714,1.314285,1.534196,0.067483,20,6144
"selu_(16,16,24)",1.350652,1.311428,1.542767,0.077437,20,6144
"elu_(16,16,32)",1.348786,1.308661,1.535714,0.075102,20,8192
"tanh_(16,24,16)",1.345415,1.287233,1.482768,0.076523,20,6144
"leaky_relu_(16,16,16)",1.342928,1.277232,1.53,0.083868,20,4096
"leaky_relu_(16,16,24)",1.340723,1.284286,1.498661,0.074636,20,6144
"elu_(16,24,16)",1.339219,1.305714,1.508571,0.054702,20,6144
"parametric_relu_(16,24,16)",1.337911,1.294286,1.505714,0.066451,20,6144
"parametric_relu_(32,32,8)",1.337781,1.294286,1.527053,0.068591,20,8192
"selu_(16,16,16)",1.337335,1.314375,1.545715,0.05663,20,4096
"relu_(8,32,32)",1.335772,1.264197,1.56,0.103414,20,8192
"linear_(32,8,32)",1.335473,1.264196,1.505715,0.09015,20,8192
"parametric_relu_(16,32,16)",1.334728,1.284196,1.534286,0.070621,20,8192
"selu_(32,32,8)",1.334545,1.3,1.52,0.064825,20,8192
"tanh_(16,16,32)",1.33321,1.284375,1.511429,0.073001,20,8192
"linear_(16,16,24)",1.331379,1.284375,1.531517,0.06884,20,6144
"selu_(32,16,16)",1.329986,1.297232,1.514197,0.064823,20,8192
"elu_(32,8,32)",1.328089,1.295714,1.501518,0.05755,20,8192
"parametric_relu_(16,16,24)",1.327299,1.285804,1.514286,0.07602,20,6144
"parametric_relu_(32,8,32)",1.325821,1.287143,1.557053,0.071292,20,8192
"parametric_relu_(32,16,16)",1.325357,1.291429,1.468571,0.057595,20,8192
"elu_(16,32,16)",1.323902,1.297143,1.514286,0.061,20,8192
"leaky_relu_(16,16,32)",1.323053,1.297054,1.46991,0.052882,20,8192
"parametric_relu_(8,32,32)",1.32146,1.288571,1.518571,0.065621,20,8192
"elu_(32,32,8)",1.321205,1.277143,1.552857,0.087302,20,8192
"selu_(8,32,32)",1.320991,1.308571,1.5,0.042202,20,8192
"parametric_relu_(16,16,16)",1.319973,1.292857,1.575715,0.076157,20,4096
"elu_(16,16,24)",1.319714,1.298571,1.438571,0.039118,20,6144
"leaky_relu_(32,16,16)",1.319138,1.278483,1.488572,0.070189,20,8192
"elu_(8,32,32)",1.31879,1.29,1.502857,0.056173,20,8192
"tanh_(32,8,32)",1.317844,1.262857,1.507232,0.080868,20,8192
"elu_(32,16,16)",1.317647,1.282857,1.504285,0.06544,20,8192
"linear_(16,16,32)",1.317339,1.262857,1.497054,0.0821,20,8192
"relu_(16,24,16)",1.317125,1.267143,1.495714,0.077688,20,6144
"tanh_(16,16,16)",1.317063,1.288571,1.48,0.066395,20,4096
"relu_(24,16,16)",1.316915,1.272768,1.528483,0.074251,20,6144
"selu_(32,8,32)",1.316277,1.305714,1.474285,0.037233,20,8192
"relu_(16,16,24)",1.314893,1.265803,1.507053,0.079146,20,6144
"linear_(16,32,16)",1.314701,1.267143,1.488661,0.078998,20,8192
"linear_(24,16,16)",1.312594,1.284375,1.527143,0.061117,20,6144
"relu_(16,16,32)",1.311643,1.267054,1.481428,0.070661,20,8192
"linear_(16,24,16)",1.311513,1.264285,1.568661,0.088961,20,6144
"leaky_relu_(8,32,32)",1.311268,1.262857,1.491428,0.068881,20,8192
"leaky_relu_(32,32,8)",1.31071,1.274197,1.55,0.073353,20,8192
"tanh_(24,16,16)",1.310473,1.265714,1.498483,0.07594,20,6144
"relu_(16,32,16)",1.310201,1.268483,1.481429,0.075992,20,8192
"leaky_relu_(24,16,16)",1.309429,1.277142,1.497143,0.064321,20,6144
"linear_(8,32,32)",1.30829,1.264375,1.477232,0.070035,20,8192
"sigmoid_(32,24,8)",1.308013,1.241429,1.508661,0.094383,20,6144
"tanh_(32,32,8)",1.30779,1.264286,1.481518,0.080653,20,8192
"parametric_relu_(24,16,16)",1.307585,1.287143,1.414286,0.033621,20,6144
"tanh_(32,16,16)",1.306786,1.261429,1.525804,0.085685,20,8192
"leaky_relu_(16,32,16)",1.305,1.275625,1.484285,0.052571,20,8192
"linear_(32,16,16)",1.304898,1.268661,1.45,0.059318,20,8192
"relu_(32,32,8)",1.304821,1.27,1.478661,0.066336,20,8192
"relu_(32,8,32)",1.299946,1.260089,1.455714,0.067587,20,8192
"tanh_(16,32,16)",1.299415,1.264197,1.534286,0.069949,20,8192
"linear_(32,32,8)",1.298786,1.265803,1.527143,0.066055,20,8192
"relu_(32,16,16)",1.298272,1.264286,1.508571,0.065432,20,8192
"relu_(16,16,16)",1.29737,1.27,1.437232,0.046864,20,4096
"tanh_(16,16,24)",1.296786,1.257233,1.59,0.091449,20,6144
"tanh_(8,32,32)",1.295228,1.265715,1.475715,0.056266,20,8192
"parametric_relu_(16,16,32)",1.292188,1.287143,1.3,0.003042,20,8192
"sigmoid_(40,24,8)",1.290563,1.251339,1.49,0.075839,20,7680
"sigmoid_(24,32,8)",1.288004,1.251428,1.467143,0.072234,20,6144
"leaky_relu_(32,8,32)",1.287464,1.271428,1.477232,0.046441,20,8192
"sigmoid_(32,8,24)",1.287219,1.251517,1.502947,0.067505,20,6144
"linear_(16,16,16)",1.282451,1.26,1.488572,0.053104,20,4096
"sigmoid_(8,24,40)",1.282134,1.248482,1.452857,0.057999,20,7680
"sigmoid_(24,40,8)",1.281629,1.248571,1.464196,0.067774,20,7680
"sigmoid_(24,8,24)",1.281125,1.244286,1.468482,0.062371,20,4608
"sigmoid_(8,40,24)",1.280406,1.244197,1.475714,0.073151,20,7680
"sigmoid_(24,8,40)",1.279089,1.249911,1.467053,0.065161,20,7680
"sigmoid_(8,24,32)",1.277795,1.244197,1.462857,0.067594,20,6144
"sigmoid_(40,8,24)",1.271295,1.237143,1.461517,0.065758,20,7680
"sigmoid_(24,8,32)",1.26758,1.244375,1.435715,0.050298,20,6144
"sigmoid_(24,24,8)",1.26638,1.245714,1.464375,0.054142,20,4608
"sigmoid_(8,24,24)",1.263027,1.242946,1.427054,0.043497,20,4608
"sigmoid_(8,32,24)",1.260777,1.244286,1.462768,0.047714,20,6144
"parametric_relu_(24,40,8)",1.260442,1.215803,1.450089,0.079052,20,7680
"selu_(32,8,24)",1.254219,1.244286,1.397142,0.033685,20,6144
"relu_(24,24,8)",1.252929,1.194286,1.388483,0.078221,20,4608
"parametric_relu_(32,24,8)",1.250067,1.180089,1.484286,0.11282,20,6144
"parametric_relu_(8,32,24)",1.245571,1.182857,1.394286,0.085033,20,6144
"selu_(8,24,24)",1.243937,1.231517,1.362857,0.03149,20,4608
"elu_(24,32,8)",1.241933,1.188661,1.400089,0.078595,20,6144
"selu_(8,40,24)",1.241482,1.194286,1.458571,0.089886,20,7680
"elu_(32,24,8)",1.239514,1.185715,1.412946,0.082506,20,6144
"elu_(8,32,24)",1.237509,1.19,1.39866,0.075704,20,6144
"elu_(40,24,8)",1.235147,1.172857,1.42134,0.090145,20,7680
"binary_step_(16,16,16)",1.233442,1.174286,1.502857,0.105693,20,4096
"parametric_relu_(32,8,24)",1.231353,1.211339,1.36,0.040331,20,6144
"selu_(24,8,32)",1.230794,1.194375,1.45866,0.079972,20,6144
"parametric_relu_(40,24,8)",1.230054,1.18,1.487053,0.095036,20,7680
"binary_step_(16,16,32)",1.228094,1.205803,1.378572,0.045752,20,8192
"parametric_relu_(24,8,32)",1.227223,1.165714,1.462947,0.099486,20,6144
"selu_(8,24,32)",1.227223,1.194286,1.487232,0.071207,20,6144
"parametric_relu_(24,8,24)",1.226661,1.177232,1.437054,0.078362,20,4608
"parametric_relu_(8,24,24)",1.225696,1.177143,1.491428,0.093187,20,4608
"linear_(40,8,24)",1.222496,1.17,1.454286,0.081583,20,7680
"selu_(24,24,8)",1.220362,1.187054,1.442857,0.064605,20,4608
"selu_(24,8,24)",1.220214,1.20009,1.334286,0.037975,20,4608
"leaky_relu_(24,24,8)",1.220156,1.158661,1.404286,0.088382,20,4608
"binary_step_(32,16,16)",1.219938,1.18,1.409911,0.067368,20,8192
"leaky_relu_(24,8,32)",1.218911,1.157143,1.48,0.096422,20,6144
"elu_(8,24,32)",1.218004,1.18134,1.515714,0.086222,20,6144
"linear_(8,24,24)",1.217772,1.162947,1.391428,0.081637,20,4608
"elu_(24,8,32)",1.217594,1.179911,1.402857,0.072768,20,6144
"selu_(24,40,8)",1.217491,1.197053,1.39,0.044271,20,7680
"leaky_relu_(8,32,24)",1.217268,1.168571,1.374375,0.078421,20,6144
"selu_(24,8,40)",1.216576,1.197142,1.417143,0.054662,20,7680
"linear_(24,8,24)",1.216482,1.158482,1.382768,0.087135,20,4608
"elu_(8,24,24)",1.213862,1.187054,1.375714,0.056445,20,4608
"binary_step_(24,16,16)",1.213848,1.174285,1.400089,0.072572,20,6144
"linear_(24,32,8)",1.213643,1.161339,1.457053,0.088641,20,6144
"selu_(40,24,8)",1.212951,1.188571,1.415715,0.055847,20,7680
"sigmoid_(8,24,16)",1.212482,1.132857,1.345715,0.091455,20,3072
"linear_(8,40,24)",1.211697,1.187143,1.392768,0.060574,20,7680
"elu_(40,8,24)",1.211656,1.172857,1.391429,0.067459,20,7680
"selu_(8,24,40)",1.211522,1.192947,1.422858,0.053432,20,7680
"elu_(8,24,40)",1.21129,1.177232,1.444285,0.067826,20,7680
"selu_(40,8,24)",1.210299,1.19,1.397053,0.049571,20,7680
"binary_step_(16,16,24)",1.210277,1.172857,1.404285,0.067186,20,6144
"binary_step_(32,32,8)",1.209871,1.178661,1.397232,0.055801,20,8192
"sigmoid_(8,40,16)",1.209795,1.158482,1.335804,0.067884,20,5120
"relu_(8,24,32)",1.209295,1.161429,1.388572,0.077947,20,6144
"binary_step_(32,8,32)",1.208911,1.174286,1.411518,0.065723,20,8192
"selu_(8,32,24)",1.208429,1.188661,1.395625,0.048965,20,6144
"binary_step_(16,24,16)",1.20725,1.172767,1.408571,0.070803,20,6144
"parametric_relu_(24,32,8)",1.207152,1.175714,1.391518,0.066025,20,6144
"elu_(24,8,40)",1.206906,1.19134,1.38,0.043584,20,7680
"linear_(8,24,32)",1.206638,1.162857,1.38866,0.068296,20,6144
"elu_(24,24,8)",1.205723,1.177142,1.455625,0.067371,20,4608
"parametric_relu_(40,8,24)",1.205558,1.168571,1.361518,0.063535,20,7680
"relu_(24,40,8)",1.205004,1.18,1.362768,0.051786,20,7680
"linear_(32,24,8)",1.204522,1.155714,1.385714,0.078784,20,6144
"elu_(24,8,24)",1.20438,1.187232,1.451518,0.058349,20,4608
"parametric_relu_(8,24,40)",1.204067,1.177232,1.404375,0.055605,20,7680
"tanh_(24,32,8)",1.203786,1.16,1.392768,0.073145,20,6144
"relu_(24,32,8)",1.20313,1.158482,1.405714,0.075519,20,6144
"linear_(32,8,24)",1.201786,1.174286,1.375715,0.059362,20,6144
"leaky_relu_(24,8,24)",1.200661,1.167232,1.444375,0.070437,20,4608
"leaky_relu_(8,40,24)",1.200634,1.165804,1.455715,0.083115,20,7680
"selu_(32,24,8)",1.199951,1.185803,1.344375,0.035928,20,6144
"relu_(8,40,24)",1.199871,1.16009,1.385714,0.07087,20,7680
"parametric_relu_(8,24,32)",1.199714,1.17866,1.351429,0.047328,20,6144
"parametric_relu_(8,40,24)",1.19962,1.174286,1.4,0.055101,20,7680
"relu_(40,24,8)",1.199054,1.168572,1.428571,0.067646,20,7680
"parametric_relu_(24,24,8)",1.198429,1.174285,1.344196,0.043742,20,4608
"linear_(8,24,40)",1.198375,1.162857,1.371518,0.06379,20,7680
"elu_(32,8,24)",1.197134,1.180089,1.371429,0.043666,20,6144
"relu_(8,24,24)",1.196777,1.157143,1.377054,0.072612,20,4608
"tanh_(40,8,24)",1.196661,1.158571,1.412768,0.076122,20,7680
"linear_(24,8,40)",1.195991,1.165714,1.372768,0.066055,20,7680
"binary_step_(8,32,32)",1.195982,1.175715,1.387143,0.052845,20,8192
"selu_(24,32,8)",1.195933,1.191339,1.225714,0.00933,20,6144
"elu_(24,40,8)",1.195415,1.191517,1.198572,0.001876,20,7680
"tanh_(40,24,8)",1.194348,1.152857,1.420089,0.076632,20,7680
"binary_step_(16,32,16)",1.193875,1.175714,1.337232,0.038575,20,8192
"linear_(8,32,24)",1.193147,1.161428,1.397143,0.065489,20,6144
"leaky_relu_(24,32,8)",1.193143,1.162857,1.42009,0.063786,20,6144
"sigmoid_(32,16,8)",1.193076,1.137143,1.368482,0.074575,20,4096
"linear_(40,24,8)",1.192648,1.16,1.432768,0.075847,20,7680
"tanh_(24,8,32)",1.192281,1.165625,1.354286,0.057411,20,6144
"leaky_relu_(24,40,8)",1.192272,1.161429,1.438571,0.066624,20,7680
"parametric_relu_(24,8,40)",1.192223,1.171429,1.364375,0.051242,20,7680
"leaky_relu_(40,24,8)",1.191946,1.164375,1.378661,0.059812,20,7680
"elu_(8,40,24)",1.190857,1.174285,1.284286,0.028896,20,7680
"linear_(24,24,8)",1.19029,1.157054,1.38,0.059969,20,4608
"relu_(24,8,40)",1.189656,1.151517,1.377054,0.075343,20,7680
"leaky_relu_(32,8,24)",1.189594,1.151428,1.390089,0.07822,20,6144
"linear_(24,8,32)",1.189429,1.164197,1.355714,0.05708,20,6144
"relu_(24,8,24)",1.187852,1.15,1.372767,0.064915,20,4608
"tanh_(8,32,24)",1.18717,1.155714,1.397142,0.07333,20,6144
"tanh_(32,8,24)",1.186281,1.157053,1.409911,0.066783,20,6144
"leaky_relu_(32,24,8)",1.18579,1.167143,1.362858,0.046371,20,6144
"tanh_(8,40,24)",1.185665,1.158482,1.368661,0.052872,20,7680
"leaky_relu_(24,8,40)",1.184741,1.158571,1.332857,0.045549,20,7680
"linear_(24,40,8)",1.184304,1.155803,1.368571,0.05454,20,7680
"tanh_(24,8,40)",1.183991,1.152767,1.337143,0.055827,20,7680
"sigmoid_(16,56,8)",1.183643,1.128571,1.448571,0.091701,20,7168
"tanh_(24,24,8)",1.18358,1.16009,1.365625,0.053187,20,4608
"tanh_(8,24,40)",1.182455,1.157143,1.360089,0.056733,20,7680
"relu_(40,8,24)",1.182214,1.155714,1.319911,0.047841,20,7680
"leaky_relu_(40,8,24)",1.181884,1.164375,1.319911,0.044878,20,7680
"tanh_(24,40,8)",1.180732,1.154286,1.361339,0.053378,20,7680
"leaky_relu_(8,24,40)",1.178852,1.161428,1.277143,0.03512,20,7680
"sigmoid_(8,16,40)",1.178,1.131429,1.387143,0.084091,20,5120
"leaky_relu_(8,24,32)",1.177201,1.161339,1.335714,0.043048,20,6144
"sigmoid_(8,48,16)",1.17704,1.131428,1.397054,0.075865,20,6144
"sigmoid_(16,8,56)",1.176933,1.122946,1.38009,0.082149,20,7168
"sigmoid_(40,16,8)",1.176371,1.127232,1.381429,0.088311,20,5120
"relu_(32,8,24)",1.176013,1.157233,1.384286,0.050249,20,6144
"sigmoid_(8,16,64)",1.175205,1.135714,1.339911,0.070779,20,8192
"sigmoid_(8,16,56)",1.174737,1.162947,1.274375,0.026097,20,7168
"relu_(24,8,32)",1.174705,1.161429,1.245714,0.024034,20,6144
"relu_(8,24,40)",1.174585,1.155625,1.408571,0.05897,20,7680
"tanh_(8,24,24)",1.173576,1.155803,1.342857,0.043159,20,4608
"tanh_(8,24,32)",1.173513,1.155625,1.265715,0.035566,20,6144
"sigmoid_(16,48,8)",1.171987,1.132857,1.347143,0.070938,20,6144
"sigmoid_(32,8,16)",1.17038,1.128661,1.350089,0.075803,20,4096
"sigmoid_(56,8,16)",1.168634,1.165625,1.171428,0.001419,20,7168
"leaky_relu_(8,24,24)",1.168357,1.152857,1.248482,0.03257,20,4608
"sigmoid_(40,8,16)",1.167357,1.127143,1.331429,0.071416,20,5120
"sigmoid_(8,16,32)",1.167067,1.127143,1.331518,0.075186,20,4096
"sigmoid_(64,8,16)",1.166281,1.128571,1.397142,0.077462,20,8192
"tanh_(24,8,24)",1.166009,1.157143,1.228572,0.015049,20,4608
"sigmoid_(56,16,8)",1.165897,1.131339,1.372768,0.07962,20,7168
"sigmoid_(24,16,8)",1.165125,1.125803,1.384286,0.07437,20,3072
"sigmoid_(16,40,8)",1.164928,1.132946,1.347054,0.062903,20,5120
"relu_(8,32,24)",1.163076,1.155715,1.252857,0.021496,20,6144
"tanh_(32,24,8)",1.162009,1.147142,1.212767,0.020136,20,6144
"binary_step_(32,24,8)",1.161902,1.101339,1.344196,0.091475,20,6144
"relu_(32,24,8)",1.160487,1.152946,1.248572,0.020792,20,6144
"sigmoid_(16,16,8)",1.159411,1.128571,1.324285,0.060024,20,2048
"sigmoid_(16,32,8)",1.159286,1.127053,1.342857,0.062291,20,4096
"sigmoid_(16,64,8)",1.159272,1.125714,1.327143,0.061905,20,8192
"sigmoid_(8,64,16)",1.158143,1.128572,1.325714,0.066842,20,8192
"sigmoid_(8,56,16)",1.154924,1.124286,1.345714,0.068742,20,7168
"sigmoid_(16,8,24)",1.153853,1.128571,1.337143,0.05518,20,3072
"sigmoid_(48,16,8)",1.153152,1.125803,1.302857,0.053326,20,6144
"sigmoid_(48,8,16)",1.152085,1.124285,1.365714,0.055928,20,6144
"sigmoid_(8,32,16)",1.151196,1.134196,1.271339,0.040292,20,4096
"sigmoid_(8,16,48)",1.151076,1.125714,1.232857,0.037719,20,6144
"sigmoid_(16,8,16)",1.150005,1.125625,1.354286,0.06045,20,2048
"sigmoid_(64,16,8)",1.149719,1.125804,1.26,0.03506,20,8192
"sigmoid_(16,8,64)",1.146228,1.121429,1.352767,0.057985,20,8192
"linear_(8,32,16)",1.145986,1.1,1.342857,0.076985,20,4096
"selu_(24,16,8)",1.144589,1.084286,1.384286,0.097377,20,3072
"elu_(8,16,64)",1.143505,1.08,1.315715,0.091694,20,8192
"sigmoid_(16,8,48)",1.142844,1.121429,1.334375,0.049493,20,6144
"binary_step_(24,8,32)",1.142719,1.077143,1.307232,0.089469,20,6144
"sigmoid_(8,16,24)",1.140652,1.125714,1.321339,0.046467,20,3072
"sigmoid_(16,8,40)",1.140232,1.121428,1.388571,0.059007,20,5120
"sigmoid_(8,16,16)",1.140219,1.121518,1.307232,0.046294,20,2048
"sigmoid_(16,24,8)",1.139705,1.124286,1.371429,0.054674,20,3072
"binary_step_(40,8,24)",1.138509,1.091428,1.301339,0.070805,20,7680
"leaky_relu_(48,8,16)",1.138437,1.054285,1.302857,0.105413,20,6144
"sigmoid_(24,8,16)",1.138219,1.12991,1.171429,0.010831,20,3072
"binary_step_(8,24,40)",1.138219,1.084286,1.29991,0.084595,20,7680
"binary_step_(32,8,24)",1.137424,1.081339,1.394286,0.091526,20,6144
"tanh_(8,64,16)",1.137161,1.058482,1.30009,0.096282,20,8192
"relu_(16,8,24)",1.136844,1.098482,1.287143,0.063225,20,3072
"tanh_(16,48,8)",1.135143,1.091518,1.27,0.064323,20,6144
"binary_step_(24,32,8)",1.134428,1.095714,1.302857,0.069282,20,6144
"binary_step_(24,40,8)",1.133504,1.084196,1.351429,0.088069,20,7680
"elu_(24,8,16)",1.132754,1.068571,1.305625,0.083143,20,3072
"selu_(32,16,8)",1.129915,1.088482,1.291429,0.065243,20,4096
"selu_(8,40,16)",1.128754,1.078482,1.321339,0.076931,20,5120
"parametric_relu_(56,16,8)",1.127714,1.067054,1.331518,0.085778,20,7168
"selu_(8,16,16)",1.127647,1.084196,1.348571,0.081056,20,2048
"sigmoid_(16,8,32)",1.127567,1.124196,1.159911,0.007747,20,4096
"elu_(16,40,8)",1.127348,1.070089,1.339911,0.098064,20,5120
"binary_step_(24,24,8)",1.127272,1.094285,1.282768,0.058682,20,4608
"selu_(40,8,16)",1.126987,1.078571,1.328661,0.085434,20,5120
"parametric_relu_(16,8,24)",1.126625,1.072767,1.371429,0.091424,20,3072
"binary_step_(24,8,40)",1.126514,1.091518,1.32,0.063944,20,7680
"selu_(8,56,16)",1.125777,1.077053,1.35,0.090755,20,7168
"selu_(8,64,16)",1.12458,1.077142,1.335715,0.080308,20,8192
"binary_step_(40,24,8)",1.124509,1.095804,1.305714,0.061785,20,7680
"tanh_(48,8,16)",1.124335,1.065714,1.328571,0.077386,20,6144
"parametric_relu_(16,8,48)",1.124067,1.067054,1.297143,0.080098,20,6144
"elu_(32,8,16)",1.123928,1.074375,1.275804,0.076729,20,4096
"leaky_relu_(24,16,8)",1.121424,1.060089,1.292857,0.083928,20,3072
"parametric_relu_(16,48,8)",1.120924,1.07,1.3,0.082319,20,6144
"leaky_relu_(8,16,48)",1.120612,1.064286,1.285715,0.079114,20,6144
"selu_(16,8,16)",1.120576,1.080089,1.315715,0.062795,20,2048
"linear_(8,64,16)",1.120505,1.055715,1.32,0.093663,20,8192
"binary_step_(8,24,32)",1.119951,1.08009,1.322857,0.060678,20,6144
"elu_(16,8,40)",1.11979,1.068571,1.314197,0.090147,20,5120
"relu_(16,64,8)",1.119567,1.098572,1.304286,0.059626,20,8192
"elu_(8,40,16)",1.119335,1.074285,1.308572,0.08116,20,5120
"leaky_relu_(16,48,8)",1.118509,1.064285,1.291429,0.079676,20,6144
"elu_(48,16,8)",1.118446,1.068661,1.267232,0.063214,20,6144
"leaky_relu_(8,16,32)",1.118304,1.060089,1.274286,0.062878,20,4096
"leaky_relu_(56,16,8)",1.117946,1.088572,1.284285,0.053897,20,7168
"leaky_relu_(8,16,56)",1.117875,1.091518,1.245714,0.052765,20,7168
"selu_(16,48,8)",1.117228,1.074375,1.302947,0.076268,20,6144
"parametric_relu_(24,16,8)",1.117004,1.068572,1.295625,0.083244,20,3072
"selu_(16,64,8)",1.11671,1.084285,1.402947,0.080302,20,8192
"tanh_(48,16,8)",1.116496,1.055715,1.297143,0.088994,20,6144
"parametric_relu_(8,48,16)",1.116161,1.07,1.284286,0.068157,20,6144
"elu_(16,8,32)",1.115996,1.068571,1.307053,0.082564,20,4096
"selu_(16,24,8)",1.115991,1.084286,1.382857,0.071378,20,3072
"selu_(64,16,8)",1.115982,1.081339,1.28,0.063168,20,8192
"leaky_relu_(8,32,16)",1.115652,1.057143,1.287232,0.074221,20,4096
"binary_step_(8,40,24)",1.115143,1.077053,1.24,0.05429,20,7680
"binary_step_(8,24,24)",1.115134,1.094197,1.307143,0.050655,20,4608
"selu_(8,16,56)",1.114554,1.079911,1.327143,0.065537,20,7168
"selu_(32,8,16)",1.114263,1.077143,1.282768,0.069475,20,4096
